PRODUCT_ID	EDITOR_RATING	MIN_PRICE	ALL_RATINGS	EDITOR	THE_GOOD	THE_BAD	THE_BOTTOM_LINE
35120429	Overall score: 7.4 (3.5 stars)	$799.00	{'performance': 6.0, 'design': 8.0, 'features': 8.0, 'image quality': 8.0}	Lori Grunin	The <b>Canon PowerShot G1 X</b> delivers excellent photo quality and a nice shooting design.	Two flaws stand out: the camera's underperforming lens and sluggish shooting speed.	A big camera capable of shooting some lovely photographs, the Canon PowerShot G1 X's slow lens disappoints given its high price.
35023852	Overall score: 7.6 (3.5 stars)	$214.00	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 8.0}	Joshua Goldman	The <b>Canon PowerShot Elph 310 HS</b>' photo quality is excellent for its class and it has a good assortment of shooting options.	The 310 HS has a relatively short battery life and its autofocus in Smart Auto mode can be hit or miss.	Snapshooters wanting better photo quality than their smartphone and an 8x zoom lens in a tiny package should certainly consider the Canon PowerShot Elph 310 HS.
35023854	Overall score: 7.6 (3.5 stars)	$212.95	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 8.0}	Joshua Goldman	The <b>Canon PowerShot Elph 310 HS</b>' photo quality is excellent for its class and it has a good assortment of shooting options.	The 310 HS has a relatively short battery life and its autofocus in Smart Auto mode can be hit or miss.	Snapshooters wanting better photo quality than their smartphone and an 8x zoom lens in a tiny package should certainly consider the Canon PowerShot Elph 310 HS.
35023862	Overall score: 7.6 (3.5 stars)	$227.96	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 8.0}	Joshua Goldman	The <b>Canon PowerShot Elph 310 HS</b>' photo quality is excellent for its class and it has a good assortment of shooting options.	The 310 HS has a relatively short battery life and its autofocus in Smart Auto mode can be hit or miss.	Snapshooters wanting better photo quality than their smartphone and an 8x zoom lens in a tiny package should certainly consider the Canon PowerShot Elph 310 HS.
35099993	Overall score: 7.6 (3.5 stars)	$199.99	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 8.0}	Joshua Goldman	The <b>Canon PowerShot Elph 310 HS</b>' photo quality is excellent for its class and it has a good assortment of shooting options.	The 310 HS has a relatively short battery life and its autofocus in Smart Auto mode can be hit or miss.	Snapshooters wanting better photo quality than their smartphone and an 8x zoom lens in a tiny package should certainly consider the Canon PowerShot Elph 310 HS.
35023859	Overall score: 7.6 (3.5 stars)	$199.95	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 8.0}	Joshua Goldman	The <b>Canon PowerShot Elph 310 HS</b>' photo quality is excellent for its class and it has a good assortment of shooting options.	The 310 HS has a relatively short battery life and its autofocus in Smart Auto mode can be hit or miss.	Snapshooters wanting better photo quality than their smartphone and an 8x zoom lens in a tiny package should certainly consider the Canon PowerShot Elph 310 HS.
35023864	Overall score: 7.6 (3.5 stars)	$199.00	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 8.0}	Joshua Goldman	The <b>Canon PowerShot Elph 310 HS</b>' photo quality is excellent for its class and it has a good assortment of shooting options.	The 310 HS has a relatively short battery life and its autofocus in Smart Auto mode can be hit or miss.	Snapshooters wanting better photo quality than their smartphone and an 8x zoom lens in a tiny package should certainly consider the Canon PowerShot Elph 310 HS.
35015258	Overall score: 7.2 (3.5 stars)	$424.00	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 7.0}	Lori Grunin	The <b>Olympus PEN E-PM1</b> has a relatively compact and appealing design, and operates similarly enough to a point-and-shoot that upgraders needn't be intimidated. Plus it's priced aggressively.	If you're picky, the image and video quality may not completely satisfy you.	If you're looking for a step-up model that's still pretty compact, the Olympus PEN E-PM1 is a solid, affordable choice.
35015257	Overall score: 7.2 (3.5 stars)	$419.95	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 7.0}	Lori Grunin	The <b>Olympus PEN E-PM1</b> has a relatively compact and appealing design, and operates similarly enough to a point-and-shoot that upgraders needn't be intimidated. Plus it's priced aggressively.	If you're picky, the image and video quality may not completely satisfy you.	If you're looking for a step-up model that's still pretty compact, the Olympus PEN E-PM1 is a solid, affordable choice.
35015262	Overall score: 7.2 (3.5 stars)	$424.00	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 7.0}	Lori Grunin	The <b>Olympus PEN E-PM1</b> has a relatively compact and appealing design, and operates similarly enough to a point-and-shoot that upgraders needn't be intimidated. Plus it's priced aggressively.	If you're picky, the image and video quality may not completely satisfy you.	If you're looking for a step-up model that's still pretty compact, the Olympus PEN E-PM1 is a solid, affordable choice.
35015259	Overall score: 7.2 (3.5 stars)	$424.00	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 7.0}	Lori Grunin	The <b>Olympus PEN E-PM1</b> has a relatively compact and appealing design, and operates similarly enough to a point-and-shoot that upgraders needn't be intimidated. Plus it's priced aggressively.	If you're picky, the image and video quality may not completely satisfy you.	If you're looking for a step-up model that's still pretty compact, the Olympus PEN E-PM1 is a solid, affordable choice.
35015261	Overall score: 7.2 (3.5 stars)	$424.00	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 7.0}	Lori Grunin	The <b>Olympus PEN E-PM1</b> has a relatively compact and appealing design, and operates similarly enough to a point-and-shoot that upgraders needn't be intimidated. Plus it's priced aggressively.	If you're picky, the image and video quality may not completely satisfy you.	If you're looking for a step-up model that's still pretty compact, the Olympus PEN E-PM1 is a solid, affordable choice.
35015260	Overall score: 7.2 (3.5 stars)	$419.95	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 7.0}	Lori Grunin	The <b>Olympus PEN E-PM1</b> has a relatively compact and appealing design, and operates similarly enough to a point-and-shoot that upgraders needn't be intimidated. Plus it's priced aggressively.	If you're picky, the image and video quality may not completely satisfy you.	If you're looking for a step-up model that's still pretty compact, the Olympus PEN E-PM1 is a solid, affordable choice.
34505085	Overall score: 7.4 (3.5 stars)	$125.95	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 7.0}	Joshua Goldman	The <b>Canon PowerShot ELPH 100 HS</b> is a very good value, offering good photo and video quality outside and indoors, lots of fun shooting modes, and decent shooting performance for its class.	The 100 HS' photos look soft, even at lower ISOs, and its autofocus is regularly inaccurate.	If you're after an inexpensive ultracompact with good low-light photos, the Canon PowerShot ELPH 100 HS is one to get. But you'd better act fast.
